,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
Douban_(0.5)_robust,0.100,0.235,0.288,0.375,0.416,0.480,0.165,0.001,0.009,0.011,0.006,0.003,0.004,0.005
Douban_(0.6),0.106,0.252,0.307,0.392,0.435,0.498,0.176,0.008,0.020,0.021,0.021,0.019,0.019,0.012
Douban_(0.6)_robust,0.108,0.249,0.304,0.392,0.435,0.498,0.176,0.004,0.005,0.004,0.007,0.004,0.004,0.005
Douban_(0.7),0.107,0.255,0.310,0.397,0.438,0.500,0.178,0.004,0.008,0.009,0.008,0.008,0.008,0.006
Douban_(0.7)_robust,0.107,0.255,0.310,0.397,0.439,0.501,0.177,0.003,0.005,0.004,0.006,0.004,0.004,0.002
Douban_(0.8),0.113,0.268,0.324,0.410,0.450,0.507,0.186,0.006,0.008,0.005,0.008,0.009,0.007,0.006
Douban_(0.8)_robust,0.114,0.270,0.325,0.414,0.452,0.509,0.188,0.003,0.002,0.002,0.001,0.002,0.003,0.003
Douban_(0.9),0.116,0.277,0.334,0.418,0.457,0.515,0.191,0.005,0.008,0.007,0.010,0.009,0.012,0.006
Douban_(0.9)_robust,0.116,0.278,0.337,0.420,0.459,0.518,0.191,0.002,0.002,0.003,0.003,0.001,0.005,0.003
Douban_(0.0),0.233,0.470,0.563,0.695,0.765,0.849,0.343,0.006,0.010,0.008,0.006,0.007,0.005,0.007
Douban_(0.0)_robust,0.234,0.473,0.566,0.696,0.765,0.849,0.345,0.003,0.002,0.004,0.002,0.003,0.001,0.002
Douban_(0.1),0.108,0.268,0.338,0.439,0.485,0.559,0.185,0.005,0.007,0.009,0.007,0.008,0.008,0.005
Douban_(0.1)_robust,0.109,0.270,0.340,0.442,0.487,0.561,0.186,0.002,0.004,0.003,0.002,0.004,0.004,0.002
Douban_(0.2),0.105,0.274,0.347,0.456,0.501,0.569,0.185,0.005,0.008,0.007,0.008,0.007,0.005,0.005
Douban_(0.2)_robust,0.106,0.277,0.347,0.458,0.502,0.569,0.185,0.002,0.004,0.004,0.004,0.003,0.003,0.001
Douban_(0.3),0.103,0.276,0.354,0.467,0.512,0.577,0.183,0.004,0.007,0.009,0.008,0.007,0.006,0.004
Douban_(0.3)_robust,0.104,0.277,0.357,0.468,0.514,0.577,0.182,0.002,0.002,0.003,0.002,0.004,0.002,0.002
Douban_(0.4),0.109,0.280,0.359,0.471,0.517,0.579,0.188,0.006,0.007,0.006,0.007,0.008,0.006,0.004
Douban_(0.4)_robust,0.110,0.281,0.360,0.472,0.518,0.581,0.188,0.000,0.004,0.002,0.003,0.005,0.001,0.002
Douban_(0.5),0.112,0.277,0.354,0.468,0.512,0.575,0.189,0.002,0.008,0.010,0.009,0.008,0.008,0.004
Douban_(0.5)_robust,0.113,0.277,0.358,0.471,0.514,0.575,0.189,0.001,0.002,0.001,0.001,0.002,0.003,0.001
Douban_(0.6),0.114,0.276,0.350,0.466,0.509,0.573,0.191,0.005,0.006,0.006,0.010,0.008,0.007,0.005
Douban_(0.6)_robust,0.116,0.277,0.351,0.469,0.511,0.574,0.192,0.001,0.002,0.002,0.004,0.003,0.003,0.002
Douban_(0.7),0.113,0.280,0.351,0.461,0.508,0.574,0.191,0.005,0.004,0.007,0.007,0.008,0.007,0.004
Douban_(0.7)_robust,0.113,0.281,0.353,0.463,0.509,0.573,0.192,0.002,0.002,0.002,0.002,0.001,0.002,0.001
Douban_(0.8),0.114,0.285,0.356,0.468,0.514,0.581,0.194,0.005,0.011,0.010,0.009,0.009,0.007,0.006
Douban_(0.8)_robust,0.115,0.289,0.358,0.470,0.515,0.581,0.196,0.004,0.006,0.006,0.005,0.007,0.002,0.003
Douban_(0.9),0.115,0.285,0.355,0.464,0.513,0.577,0.193,0.005,0.007,0.007,0.007,0.008,0.008,0.005
Douban_(0.9)_robust,0.116,0.287,0.356,0.465,0.514,0.578,0.194,0.001,0.002,0.004,0.003,0.002,0.005,0.002
