Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
75,19.5718,0.3730,0.2536,0.5106,0.6223,0.7709,0.8279,0.9084
76,19.5625,0.3719,0.2503,0.5106,0.6246,0.7698,0.8335,0.9084
77,19.5529,0.3743,0.2547,0.5106,0.6268,0.7754,0.8324,0.9084
78,19.5431,0.3765,0.2592,0.5140,0.6223,0.7732,0.8302,0.9084
79,19.5332,0.3748,0.2603,0.5151,0.6179,0.7743,0.8302,0.9073
80,19.5230,0.3778,0.2637,0.5084,0.6190,0.7743,0.8324,0.9084
81,19.5126,0.3809,0.2670,0.5140,0.6235,0.7743,0.8313,0.9117
82,19.5019,0.3817,0.2670,0.5117,0.6235,0.7743,0.8302,0.9117
83,19.4911,0.3863,0.2737,0.5140,0.6212,0.7732,0.8324,0.9128
84,19.4799,0.3810,0.2626,0.5106,0.6279,0.7743,0.8335,0.9117
85,19.4685,0.3825,0.2637,0.5140,0.6257,0.7743,0.8335,0.9106
86,19.4569,0.3826,0.2659,0.5128,0.6346,0.7732,0.8335,0.9095
87,19.4450,0.3820,0.2648,0.5151,0.6324,0.7743,0.8346,0.9095
88,19.4329,0.3829,0.2659,0.5162,0.6313,0.7743,0.8358,0.9095
89,19.4205,0.3852,0.2682,0.5162,0.6268,0.7765,0.8358,0.9095
90,19.4078,0.3831,0.2637,0.5151,0.6291,0.7799,0.8402,0.9084
91,19.3949,0.3858,0.2704,0.5173,0.6313,0.7799,0.8402,0.9084
92,19.3817,0.3902,0.2749,0.5173,0.6313,0.7810,0.8369,0.9073
93,19.3683,0.3852,0.2670,0.5184,0.6380,0.7832,0.8402,0.9061
94,19.3545,0.3866,0.2704,0.5207,0.6346,0.7855,0.8391,0.9073
95,19.3405,0.3889,0.2737,0.5218,0.6369,0.7844,0.8402,0.9050
96,19.3261,0.3907,0.2737,0.5240,0.6358,0.7844,0.8391,0.9050
97,19.3115,0.3900,0.2737,0.5229,0.6391,0.7844,0.8402,0.9050
98,19.2965,0.3935,0.2771,0.5240,0.6358,0.7855,0.8380,0.9050
99,19.2813,0.3925,0.2749,0.5263,0.6369,0.7855,0.8380,0.9028
100,19.2657,0.3887,0.2693,0.5263,0.6324,0.7844,0.8380,0.9039
101,19.2498,0.3911,0.2737,0.5240,0.6313,0.7844,0.8380,0.9028
102,19.2335,0.3916,0.2726,0.5285,0.6346,0.7844,0.8369,0.9017
103,19.2169,0.3905,0.2704,0.5285,0.6313,0.7832,0.8369,0.9006
104,19.2000,0.3911,0.2726,0.5285,0.6324,0.7832,0.8425,0.9006
105,19.1827,0.3954,0.2771,0.5263,0.6358,0.7821,0.8458,0.9006
106,19.1652,0.3960,0.2782,0.5240,0.6358,0.7799,0.8447,0.9006
107,19.1473,0.3930,0.2760,0.5263,0.6358,0.7799,0.8425,0.9006
108,19.1291,0.3939,0.2771,0.5240,0.6335,0.7799,0.8436,0.9006
109,19.1105,0.3926,0.2726,0.5229,0.6358,0.7799,0.8425,0.9006
110,19.0916,0.3881,0.2670,0.5218,0.6369,0.7777,0.8425,0.8994
111,19.0723,0.3880,0.2659,0.5207,0.6358,0.7754,0.8402,0.9006
112,19.0527,0.3883,0.2670,0.5240,0.6369,0.7754,0.8402,0.9017
113,19.0327,0.3950,0.2771,0.5240,0.6391,0.7754,0.8391,0.9039
114,19.0123,0.3954,0.2793,0.5207,0.6380,0.7743,0.8391,0.9039
115,18.9916,0.3956,0.2793,0.5196,0.6391,0.7765,0.8391,0.9039
116,18.9707,0.3951,0.2771,0.5184,0.6436,0.7777,0.8369,0.9039
117,18.9495,0.3951,0.2782,0.5184,0.6469,0.7777,0.8369,0.9028
118,18.9282,0.3953,0.2782,0.5162,0.6447,0.7777,0.8369,0.9017
119,18.9066,0.3948,0.2760,0.5151,0.6458,0.7777,0.8391,0.9028
120,18.8847,0.3979,0.2816,0.5173,0.6469,0.7754,0.8391,0.9028
121,18.8627,0.3984,0.2816,0.5196,0.6480,0.7777,0.8402,0.9017
122,18.8407,0.3958,0.2771,0.5162,0.6503,0.7788,0.8391,0.9017
123,18.8186,0.3929,0.2704,0.5196,0.6525,0.7777,0.8380,0.8994
124,18.7964,0.3933,0.2715,0.5274,0.6492,0.7788,0.8380,0.9006
125,18.7740,0.3998,0.2793,0.5296,0.6492,0.7799,0.8369,0.9006
126,18.7516,0.3970,0.2737,0.5307,0.6525,0.7799,0.8391,0.9028
127,18.7294,0.3938,0.2670,0.5274,0.6503,0.7821,0.8413,0.9050
128,18.7072,0.3939,0.2682,0.5296,0.6525,0.7788,0.8391,0.9028
129,18.6853,0.3933,0.2682,0.5330,0.6503,0.7799,0.8391,0.9039
130,18.6637,0.3969,0.2737,0.5341,0.6525,0.7810,0.8413,0.9039
131,18.6422,0.4010,0.2816,0.5341,0.6503,0.7799,0.8391,0.9061
132,18.6210,0.3915,0.2659,0.5374,0.6492,0.7821,0.8358,0.9061
133,18.6002,0.3943,0.2693,0.5363,0.6547,0.7810,0.8380,0.9061
134,18.5797,0.3970,0.2749,0.5307,0.6536,0.7777,0.8358,0.9106
135,18.5596,0.3968,0.2749,0.5285,0.6503,0.7788,0.8358,0.9117
136,18.5400,0.3971,0.2749,0.5296,0.6469,0.7765,0.8358,0.9117
137,18.5211,0.4007,0.2827,0.5296,0.6469,0.7810,0.8413,0.9128
138,18.5030,0.3974,0.2771,0.5307,0.6458,0.7855,0.8436,0.9140
139,18.4854,0.3964,0.2782,0.5296,0.6458,0.7877,0.8458,0.9151
140,18.4683,0.4005,0.2838,0.5341,0.6436,0.7899,0.8458,0.9173
141,18.4517,0.4011,0.2838,0.5285,0.6480,0.7911,0.8469,0.9173
142,18.4353,0.4014,0.2872,0.5263,0.6536,0.7899,0.8492,0.9196
143,18.4190,0.4021,0.2860,0.5318,0.6469,0.7866,0.8503,0.9207
144,18.4024,0.4018,0.2883,0.5229,0.6469,0.7866,0.8503,0.9196
145,18.3852,0.4007,0.2860,0.5240,0.6492,0.7877,0.8492,0.9218
146,18.3669,0.4018,0.2905,0.5240,0.6458,0.7899,0.8503,0.9274
147,18.3476,0.4004,0.2872,0.5229,0.6458,0.7922,0.8503,0.9240
148,18.3272,0.3996,0.2849,0.5263,0.6402,0.7899,0.8525,0.9251
149,18.3058,0.3965,0.2816,0.5274,0.6413,0.7877,0.8492,0.9251
150,18.2842,0.4040,0.2939,0.5285,0.6358,0.7866,0.8492,0.9251
151,18.2631,0.4010,0.2894,0.5251,0.6413,0.7810,0.8480,0.9251
152,18.2428,0.3994,0.2883,0.5173,0.6447,0.7821,0.8514,0.9251
153,18.2233,0.3964,0.2860,0.5184,0.6402,0.7866,0.8492,0.9263
154,18.2045,0.3953,0.2872,0.5151,0.6402,0.7855,0.8469,0.9229
155,18.1861,0.3915,0.2827,0.5117,0.6346,0.7855,0.8492,0.9196
156,18.1681,0.3874,0.2749,0.5162,0.6346,0.7888,0.8480,0.9196
157,18.1503,0.3863,0.2760,0.5196,0.6268,0.7877,0.8458,0.9240
158,18.1330,0.3821,0.2704,0.5117,0.6291,0.7855,0.8413,0.9207
159,18.1162,0.3765,0.2626,0.5061,0.6223,0.7832,0.8436,0.9196
160,18.0996,0.3722,0.2592,0.5028,0.6134,0.7743,0.8425,0.9162
161,18.0831,0.3614,0.2480,0.4894,0.6101,0.7687,0.8391,0.9162
162,18.0668,0.3574,0.2458,0.4860,0.6056,0.7631,0.8279,0.9106
163,18.0511,0.3480,0.2324,0.4771,0.6022,0.7587,0.8201,0.9084
164,18.0361,0.3462,0.2313,0.4726,0.5955,0.7564,0.8179,0.9061
165,18.0219,0.3421,0.2291,0.4626,0.5978,0.7531,0.8112,0.9028
166,18.0082,0.3357,0.2223,0.4480,0.5911,0.7531,0.8078,0.8972
167,17.9951,0.3343,0.2235,0.4503,0.5832,0.7497,0.8056,0.8916
168,17.9822,0.3272,0.2134,0.4402,0.5777,0.7453,0.8022,0.8849
169,17.9694,0.3256,0.2145,0.4380,0.5709,0.7430,0.7978,0.8804
170,17.9568,0.3201,0.2067,0.4302,0.5665,0.7419,0.7955,0.8793
171,17.9444,0.3189,0.2067,0.4257,0.5665,0.7408,0.7933,0.8715
172,17.9322,0.3159,0.2045,0.4257,0.5598,0.7363,0.7944,0.8670
173,17.9200,0.3106,0.1989,0.4235,0.5553,0.7352,0.7877,0.8615
174,17.9085,0.3076,0.1966,0.4235,0.5430,0.7285,0.7866,0.8626
175,17.8975,0.3059,0.1944,0.4212,0.5397,0.7274,0.7832,0.8581
176,17.8869,0.3043,0.1966,0.4168,0.5341,0.7263,0.7799,0.8547
177,17.8767,0.3003,0.1899,0.4112,0.5330,0.7240,0.7754,0.8480
178,17.8666,0.2994,0.1922,0.4123,0.5285,0.7173,0.7732,0.8447
179,17.8565,0.2962,0.1877,0.4089,0.5274,0.7173,0.7709,0.8402
180,17.8464,0.2963,0.1933,0.4011,0.5207,0.7140,0.7687,0.8380
181,17.8367,0.2916,0.1866,0.4000,0.5184,0.7017,0.7654,0.8369
182,17.8272,0.2910,0.1855,0.4011,0.5140,0.7006,0.7598,0.8346
183,17.8179,0.2857,0.1765,0.3955,0.5117,0.6983,0.7587,0.8302
184,17.8088,0.2835,0.1754,0.3922,0.5073,0.6983,0.7497,0.8279
185,17.7999,0.2782,0.1698,0.3911,0.5050,0.6916,0.7430,0.8246
186,17.7909,0.2771,0.1687,0.3877,0.5028,0.6905,0.7419,0.8235
187,17.7822,0.2752,0.1687,0.3899,0.4983,0.6860,0.7408,0.8123
188,17.7736,0.2689,0.1620,0.3832,0.4916,0.6838,0.7307,0.8078
189,17.7654,0.2684,0.1631,0.3754,0.4860,0.6749,0.7263,0.8022
190,17.7573,0.2659,0.1587,0.3743,0.4860,0.6693,0.7263,0.8000
191,17.7494,0.2669,0.1631,0.3743,0.4816,0.6659,0.7251,0.7978
192,17.7416,0.2612,0.1564,0.3698,0.4804,0.6581,0.7184,0.7899
193,17.7339,0.2624,0.1598,0.3698,0.4771,0.6536,0.7151,0.7855
194,17.7263,0.2601,0.1575,0.3665,0.4782,0.6536,0.7128,0.7810
195,17.7190,0.2534,0.1486,0.3620,0.4715,0.6536,0.7061,0.7743
196,17.7116,0.2557,0.1520,0.3631,0.4693,0.6514,0.7050,0.7743
197,17.7045,0.2542,0.1508,0.3553,0.4637,0.6458,0.7006,0.7698
198,17.6974,0.2507,0.1464,0.3508,0.4659,0.6413,0.7006,0.7687
199,17.6904,0.2508,0.1475,0.3575,0.4615,0.6335,0.7006,0.7631
200,17.6836,0.2496,0.1475,0.3475,0.4615,0.6302,0.6983,0.7598
